Area;Gross
Austria;$8381072
Belgium;$8682740
Bulgaria;$128072
Croatia;$1144369
Czech Republic;$6610971
Denmark;$10254418
Finland;$4942382
France;$62191621
Germany;$63290219
Greece;$4175061
Hungary;$4500776
Iceland;$749185
Italy;$34145771
Lithuania;$627672
Netherlands;$15066568
Norway;$8161984
Poland;$10558455
Portugal;$4296991
Romania;$3376295
Slovakia;$1990548
Slovenia;$611641
Spain;$32666859
Sweden;$11757702
Switzerland;$8786816
Ukraine;$5971461
United Kingdom;$115000524
