Area;Gross
Austria;$9455563
Belgium;$15635833
Bulgaria;$1650942
Croatia;$1130420
Czech Republic;$2721308
Denmark;$7596053
Finland;$4319595
France;$80583013
Germany;$56915304
Greece;$1736342
Hungary;$2056440
Iceland;$638288
Italy;$42915624
Lithuania;$975240
Netherlands;$34440375
Norway;$7422411
Poland;$12495443
Portugal;$8520602
Romania;$1899623
Slovakia;$1249366
Slovenia;$806685
South Africa;$7234264
Spain;$41501866
Sweden;$15401936
Switzerland;$10045492
Türkiye;$2498385
Ukraine;$5108352
United Arab Emirates;$9159125
United Kingdom;$99507543
