Area;Gross
Austria;$505677
Belgium;$1272104
Bulgaria;$29459
Croatia;$36720
Cyprus;$22010
Czech Republic;$156196
Denmark;$3066198
Egypt;$12824
Estonia;$215330
Finland;$3091445
France;$5498661
Germany;$6643902
Greece;$253201
Hungary;$259611
Iceland;$100222
Israel;$178536
Italy;$3515607
Latvia;$35615
Lebanon;$35167
Lithuania;$56790
Netherlands;$4343233
Norway;$1743587
Poland;$339346
Portugal;$357224
Romania;$121318
Slovenia;$25772
South Africa;$329653
Spain;$3388575
Sweden;$3597591
Switzerland;$1343648
Ukraine;$263366
United Arab Emirates;$235235
United Kingdom;$34494045
