Area;Gross
Austria;$1755827
Bahrain;$106048
Belgium;$1304246
Bulgaria;$141860
Croatia;$384931
Cyprus;$37904
Czech Republic;$394689
Denmark;$1883851
Egypt;$324085
Estonia;$151577
Finland;$1736383
France;$8286202
Germany;$13042857
Greece;$744547
Hungary;$839589
Iceland;$93905
Israel;$1056508
Italy;$5661031
Jordan;$76998
Kuwait;$427631
Latvia;$110331
Lebanon;$136654
Lithuania;$163098
Netherlands;$2317400
Norway;$936388
Oman;$63048
Poland;$2911901
Portugal;$625260
Qatar;$134647
Romania;$531939
Slovakia;$276071
Slovenia;$107757
South Africa;$359305
Spain;$4975597
Sweden;$1444763
Switzerland;$1798567
Türkiye;$171098
Ukraine;$1119045
United Arab Emirates;$1412945
United Kingdom;$17160856
